sequence,author
"['the', 'indignant', 'parish\n', 'officer.\n', '\n', 'Mr', 'Bumble', 'lifted', 'off', 'his', 'cocked', 'hat;', 'took', 'a', 'handkerchief', 'from', 'the\n', 'inside', 'of', 'the', 'crown;', 'wiped', 'from', 'his', 'forehead']",CharlesDickens
"['the', 'perspiration', 'which', 'his\n', 'rage', 'had', 'engendered;', 'fixed', 'the', 'cocked', 'hat', 'on', 'again;', 'and,', 'turning', 'to', 'the\n', 'undertaker,', 'said', 'in', 'a', 'calmer', 'voice:\n', '\n', ""'Well;""]",CharlesDickens
"['what', 'about', 'the', ""boy?'\n"", '\n', ""'Oh!'"", 'replied', 'the', 'undertaker;', ""'why,"", 'you', 'know,', 'Mr.', 'Bumble,', 'I', 'pay', 'a', 'good\n', 'deal', 'towards', 'the', ""poor's"", ""rates.'\n"", '\n', ""'Hem!'""]",CharlesDickens
"['said', 'Mr.', 'Bumble.', '', ""'Well?'\n"", '\n', ""'Well,'"", 'replied', 'the', 'undertaker,', ""'I"", 'was', 'thinking', 'that', 'if', 'I', 'pay', 'so', 'much\n', 'towards', ""'em,"", ""I've"", 'a', 'right', 'to']",CharlesDickens
"['get', 'as', 'much', 'out', 'of', ""'em"", 'as', 'I', 'can,', 'Mr.\n', 'Bumble;', 'and', 'so--I', 'think', ""I'll"", 'take', 'the', 'boy', ""myself.'\n"", '\n', 'Mr.', 'Bumble', 'grasped', 'the', 'undertaker']",CharlesDickens
"['by', 'the', 'arm,', 'and', 'led', 'him', 'into', 'the\n', 'building.', '', 'Mr.', 'Sowerberry', 'was', 'closeted', 'with', 'the', 'board', 'for', 'five', 'minutes;\n', 'and', 'it', 'was', 'arranged', 'that']",CharlesDickens
"['Oliver', 'should', 'go', 'to', 'him', 'that', 'evening', ""'upon\n"", ""liking'--a"", 'phrase', 'which', 'means,', 'in', 'the', 'case', 'of', 'a', 'parish', 'apprentice,', 'that\n', 'if', 'the', 'master', 'find,', 'upon']",CharlesDickens
"['a', 'short', 'trial,', 'that', 'he', 'can', 'get', 'enough', 'work', 'out\n', 'of', 'a', 'boy', 'without', 'putting', 'too', 'much', 'food', 'into', 'him,', 'he', 'shall', 'have', 'him', 'for\n']",CharlesDickens
"['a', 'term', 'of', 'years,', 'to', 'do', 'what', 'he', 'likes', 'with.\n', '\n', 'When', 'little', 'Oliver', 'was', 'taken', 'before', ""'the"", ""gentlemen'"", 'that', 'evening;', 'and\n', 'informed', 'that', 'he']",CharlesDickens
"['was', 'to', 'go,', 'that', 'night,', 'as', 'general', 'house-lad', 'to', 'a\n', ""coffin-maker's;"", 'and', 'that', 'if', 'he', 'complained', 'of', 'his', 'situation,', 'or', 'ever\n', 'came', 'back', 'to', 'the']",CharlesDickens
"['parish', 'again,', 'he', 'would', 'be', 'sent', 'to', 'sea,', 'there', 'to', 'be\n', 'drowned,', 'or', 'knocked', 'on', 'the', 'head,', 'as', 'the', 'case', 'might', 'be,', 'he', 'evinced', 'so\n']",CharlesDickens
"['little', 'emotion,', 'that', 'they', 'by', 'common', 'consent', 'pronounced', 'him', 'a', 'hardened\n', 'young', 'rascal,', 'and', 'ordered', 'Mr.', 'Bumble', 'to', 'remove', 'him', 'forthwith.\n', '\n', 'Now,', 'although', 'it']",CharlesDickens
"['was', 'very', 'natural', 'that', 'the', 'board,', 'of', 'all', 'people', 'in', 'the\n', 'world,', 'should', 'feel', 'in', 'a', 'great', 'state', 'of', 'virtuous', 'astonishment', 'and', 'horror\n', 'at', 'the']",CharlesDickens
"['smallest', 'tokens', 'of', 'want', 'of', 'feeling', 'on', 'the', 'part', 'of', 'anybody,', 'they\n', 'were', 'rather', 'out,', 'in', 'this', 'particular', 'instance.', '', 'The', 'simple', 'fact', 'was,\n', 'that']",CharlesDickens
"['Oliver,', 'instead', 'of', 'possessing', 'too', 'little', 'feeling,', 'possessed', 'rather\n', 'too', 'much;', 'and', 'was', 'in', 'a', 'fair', 'way', 'of', 'being', 'reduced,', 'for', 'life,', 'to', 'a', 'state\n']",CharlesDickens
"['of', 'brutal', 'stupidity', 'and', 'sullenness', 'by', 'the', 'ill', 'usage', 'he', 'had', 'received.\n', 'He', 'heard', 'the', 'news', 'of', 'his', 'destination,', 'in', 'perfect', 'silence;', 'and,', 'having\n', 'had']",CharlesDickens
"['his', 'luggage', 'put', 'into', 'his', 'hand--which', 'was', 'not', 'very', 'difficult', 'to\n', 'carry,', 'inasmuch', 'as', 'it', 'was', 'all', 'comprised', 'within', 'the', 'limits', 'of', 'a', 'brown\n', 'paper']",CharlesDickens
"['parcel,', 'about', 'half', 'a', 'foot', 'square', 'by', 'three', 'inches', 'deep--he', 'pulled\n', 'his', 'cap', 'over', 'his', 'eyes;', 'and', 'once', 'more', 'attaching', 'himself', 'to', 'Mr.', ""Bumble's\n"", 'coat']",CharlesDickens
"['cuff,', 'was', 'led', 'away', 'by', 'that', 'dignitary', 'to', 'a', 'new', 'scene', 'of', 'suffering.\n', '\n', 'For', 'some', 'time,', 'Mr.', 'Bumble', 'drew', 'Oliver', 'along,', 'without', 'notice', 'or']",CharlesDickens
"['remark;\n', 'for', 'the', 'beadle', 'carried', 'his', 'head', 'very', 'erect,', 'as', 'a', 'beadle', 'always', 'should:\n', 'and,', 'it', 'being', 'a', 'windy', 'day,', 'little', 'Oliver', 'was', 'completely', 'enshrouded']",CharlesDickens
"['by\n', 'the', 'skirts', 'of', 'Mr.', ""Bumble's"", 'coat', 'as', 'they', 'blew', 'open,', 'and', 'disclosed', 'to\n', 'great', 'advantage', 'his', 'flapped', 'waistcoat', 'and', 'drab', 'plush', 'knee-breeches.', '', 'As\n']",CharlesDickens
"['they', 'drew', 'near', 'to', 'their', 'destination,', 'however,', 'Mr.', 'Bumble', 'thought', 'it\n', 'expedient', 'to', 'look', 'down,', 'and', 'see', 'that', 'the', 'boy', 'was', 'in', 'good', 'order', 'for\n']",CharlesDickens
"['inspection', 'by', 'his', 'new', 'master:', 'which', 'he', 'accordingly', 'did,', 'with', 'a', 'fit', 'and\n', 'becoming', 'air', 'of', 'gracious', 'patronage.\n', '\n', ""'Oliver!'"", '', 'said', 'Mr.', 'Bumble.\n', '\n']",CharlesDickens
"[""'Yes,"", ""sir,'"", 'replied', 'Oliver,', 'in', 'a', 'low,', 'tremulous', 'voice.\n', '\n', ""'Pull"", 'that', 'cap', 'off', 'your', 'eyes,', 'and', 'hold', 'up', 'your', 'head,', ""sir.'\n"", '\n', 'Although', 'Oliver']",CharlesDickens
"['did', 'as', 'he', 'was', 'desired,', 'at', 'once;', 'and', 'passed', 'the', 'back', 'of\n', 'his', 'unoccupied', 'hand', 'briskly', 'across', 'his', 'eyes,', 'he', 'left', 'a', 'tear', 'in', 'them\n']",CharlesDickens
"['when', 'he', 'looked', 'up', 'at', 'his', 'conductor.', '', 'As', 'Mr.', 'Bumble', 'gazed', 'sternly', 'upon\n', 'him,', 'it', 'rolled', 'down', 'his', 'cheek.', 'It', 'was', 'followed', 'by', 'another,']",CharlesDickens
"['and', 'another.\n', 'The', 'child', 'made', 'a', 'strong', 'effort,', 'but', 'it', 'was', 'an', 'unsuccessful', 'one.\n', 'Withdrawing', 'his', 'other', 'hand', 'from', 'Mr.', ""Bumble's"", 'he', 'covered', 'his', 'face']",CharlesDickens
"['with\n', 'both;', 'and', 'wept', 'until', 'the', 'tears', 'sprung', 'out', 'from', 'between', 'his', 'chin', 'and\n', 'bony', 'fingers.\n', '\n', ""'Well!'"", 'exclaimed', 'Mr.', 'Bumble,', 'stopping', 'short,', 'and', 'darting']",CharlesDickens
"['at', 'his', 'little\n', 'charge', 'a', 'look', 'of', 'intense', 'malignity.', '', ""'Well!"", '', 'Of', '_all_', 'the\n', 'ungratefullest,', 'and', 'worst-disposed', 'boys', 'as', 'ever', 'I', 'see,', 'Oliver,', 'you']",CharlesDickens
"['are\n', ""the--'\n"", '\n', ""'No,"", 'no,', ""sir,'"", 'sobbed', 'Oliver,', 'clinging', 'to', 'the', 'hand', 'which', 'held', 'the\n', 'well-known', 'cane;', ""'no,"", 'no,', 'sir;', 'I', 'will', 'be', 'good', 'indeed;']",CharlesDickens
"['indeed,', 'indeed', 'I\n', 'will,', 'sir!', '', 'I', 'am', 'a', 'very', 'little', 'boy,', 'sir;', 'and', 'it', 'is', ""so--so--'\n"", '\n', ""'So"", ""what?'"", 'inquired', 'Mr.', 'Bumble', 'in', 'amazement.\n']",CharlesDickens
"['\n', ""'So"", 'lonely,', 'sir!', '', 'So', 'very', ""lonely!'"", 'cried', 'the', 'child.', '', ""'Everybody"", 'hates\n', 'me.', '', 'Oh!', 'sir,', ""don't,"", ""don't"", 'pray', 'be', 'cross', 'to', ""me!'""]",CharlesDickens
"['', 'The', 'child', 'beat', 'his\n', 'hand', 'upon', 'his', 'heart;', 'and', 'looked', 'in', 'his', ""companion's"", 'face,', 'with', 'tears', 'of\n', 'real', 'agony.\n', '\n', 'Mr.', 'Bumble', 'regarded', ""Oliver's""]",CharlesDickens
"['piteous', 'and', 'helpless', 'look,', 'with', 'some\n', 'astonishment,', 'for', 'a', 'few', 'seconds;', 'hemmed', 'three', 'or', 'four', 'times', 'in', 'a', 'husky\n', 'manner;', 'and', 'after', 'muttering', 'something', 'about']",CharlesDickens
"[""'that"", 'troublesome', ""cough,'\n"", 'bade', 'Oliver', 'dry', 'his', 'eyes', 'and', 'be', 'a', 'good', 'boy.', 'Then', 'once', 'more', 'taking', 'his\n', 'hand,', 'he', 'walked', 'on', 'with', 'him', 'in']",CharlesDickens
"['silence.\n', '\n', 'The', 'undertaker,', 'who', 'had', 'just', 'put', 'up', 'the', 'shutters', 'of', 'his', 'shop,', 'was\n', 'making', 'some', 'entries', 'in', 'his', 'day-book', 'by', 'the', 'light', 'of']",CharlesDickens
"['a', 'most', 'appropriate\n', 'dismal', 'candle,', 'when', 'Mr.', 'Bumble', 'entered.\n', '\n', ""'Aha!'"", 'said', 'the', 'undertaker;', 'looking', 'up', 'from', 'the', 'book,', 'and', 'pausing', 'in\n', 'the', 'middle', 'of']",CharlesDickens
"['a', 'word;', ""'is"", 'that', 'you,', ""Bumble?'\n"", '\n', ""'No"", 'one', 'else,', 'Mr.', ""Sowerberry,'"", 'replied', 'the', 'beadle.', '', ""'Here!"", ""I've"", 'brought\n', 'the', ""boy.'"", '', 'Oliver', 'made', 'a']",CharlesDickens
"['bow.\n', '\n', ""'Oh!"", ""that's"", 'the', 'boy,', 'is', ""it?'"", 'said', 'the', 'undertaker:', '', 'raising', 'the', 'candle\n', 'above', 'his', 'head,', 'to', 'get', 'a', 'better', 'view', 'of', 'Oliver.']",CharlesDickens
"[""'Mrs."", 'Sowerberry,', 'will\n', 'you', 'have', 'the', 'goodness', 'to', 'come', 'here', 'a', 'moment,', 'my', ""dear?'\n"", '\n', 'Mrs.', 'Sowerberry', 'emerged', 'from', 'a', 'little', 'room', 'behind', 'the', 'shop,']",CharlesDickens
"['and\n', 'presented', 'the', 'form', 'of', 'a', 'short,', 'then,', 'squeezed-up', 'woman,', 'with', 'a', 'vixenish\n', 'countenance.\n', '\n', ""'My"", ""dear,'"", 'said', 'Mr.', 'Sowerberry,', 'deferentially,', ""'this"", 'is', 'the', 'boy']",CharlesDickens
"['from\n', 'the', 'workhouse', 'that', 'I', 'told', 'you', ""of.'"", '', 'Oliver', 'bowed', 'again.\n', '\n', ""'Dear"", ""me!'"", 'said', 'the', ""undertaker's"", 'wife,', ""'he's"", 'very', ""small.'\n"", '\n', ""'Why,"", 'he']",CharlesDickens
"['_is_', 'rather', ""small,'"", 'replied', 'Mr.', 'Bumble:', 'looking', 'at', 'Oliver', 'as\n', 'if', 'it', 'were', 'his', 'fault', 'that', 'he', 'was', 'no', 'bigger;', ""'he"", 'is', 'small.', ""There's"", 'no\n']",CharlesDickens
"['denying', 'it.', '', 'But', ""he'll"", 'grow,', 'Mrs.', ""Sowerberry--he'll"", ""grow.'\n"", '\n', ""'Ah!"", '', 'I', 'dare', 'say', 'he', ""will,'"", 'replied', 'the', 'lady', 'pettishly,', ""'on"", 'our', 'victuals\n', 'and']",CharlesDickens
"['our', 'drink.', '', 'I', 'see', 'no', 'saving', 'in', 'parish', 'children,', 'not', 'I;', 'for', 'they\n', 'always', 'cost', 'more', 'to', 'keep,', 'than', ""they're"", 'worth.', 'However,', 'men', 'always']",CharlesDickens
"['think\n', 'they', 'know', 'best.', 'There!', '', 'Get', 'downstairs,', 'little', 'bag', ""o'"", ""bones.'"", '', 'With\n', 'this,', 'the', ""undertaker's"", 'wife', 'opened', 'a', 'side', 'door,', 'and', 'pushed', 'Oliver']",CharlesDickens
"['down\n', 'a', 'steep', 'flight', 'of', 'stairs', 'into', 'a', 'stone', 'cell,', 'damp', 'and', 'dark:', 'forming', 'the\n', 'ante-room', 'to', 'the', 'coal-cellar,', 'and', 'denominated', ""'kitchen';"", 'wherein', 'sat', 'a\n']",CharlesDickens
"['slatternly', 'girl,', 'in', 'shoes', 'down', 'at', 'heel,', 'and', 'blue', 'worsted', 'stockings', 'very\n', 'much', 'out', 'of', 'repair.\n', '\n', ""'Here,"", ""Charlotte,'"", 'said', 'Mr.', 'Sowerberry,', 'who', 'had', 'followed']",CharlesDickens
"['Oliver', 'down,\n', ""'give"", 'this', 'boy', 'some', 'of', 'the', 'cold', 'bits', 'that', 'were', 'put', 'by', 'for', 'Trip.', '', 'He\n', ""hasn't"", 'come', 'home', 'since', 'the', 'morning,', 'so']",CharlesDickens
"['he', 'may', 'go', 'without', ""'em."", '', 'I', 'dare\n', 'say', 'the', 'boy', ""isn't"", 'too', 'dainty', 'to', 'eat', ""'em--are"", 'you,', ""boy?'\n"", '\n', 'Oliver,', 'whose', 'eyes', 'had', 'glistened']",CharlesDickens
"['at', 'the', 'mention', 'of', 'meat,', 'and', 'who', 'was\n', 'trembling', 'with', 'eagerness', 'to', 'devour', 'it,', 'replied', 'in', 'the', 'negative;', 'and', 'a\n', 'plateful', 'of', 'coarse', 'broken', 'victuals']",CharlesDickens
"['was', 'set', 'before', 'him.\n', '\n', 'I', 'wish', 'some', 'well-fed', 'philosopher,', 'whose', 'meat', 'and', 'drink', 'turn', 'to', 'gall\n', 'within', 'him;', 'whose', 'blood', 'is', 'ice,', 'whose', 'heart']",CharlesDickens
"['is', 'iron;', 'could', 'have', 'seen\n', 'Oliver', 'Twist', 'clutching', 'at', 'the', 'dainty', 'viands', 'that', 'the', 'dog', 'had', 'neglected.\n', 'I', 'wish', 'he', 'could', 'have', 'witnessed', 'the', 'horrible']",CharlesDickens
"['avidity', 'with', 'which', 'Oliver\n', 'tore', 'the', 'bits', 'asunder', 'with', 'all', 'the', 'ferocity', 'of', 'famine.', '', 'There', 'is', 'only\n', 'one', 'thing', 'I', 'should', 'like', 'better;', 'and']",CharlesDickens
"['that', 'would', 'be', 'to', 'see', 'the\n', 'Philosopher', 'making', 'the', 'same', 'sort', 'of', 'meal', 'himself,', 'with', 'the', 'same', 'relish.\n', '\n', ""'Well,'"", 'said', 'the', ""undertaker's"", 'wife,', 'when']",CharlesDickens
"['Oliver', 'had', 'finished', 'his\n', 'supper:', 'which', 'she', 'had', 'regarded', 'in', 'silent', 'horror,', 'and', 'with', 'fearful\n', 'auguries', 'of', 'his', 'future', 'appetite:', ""'have"", 'you', ""done?'\n"", '\n', 'There']",CharlesDickens
"['being', 'nothing', 'eatable', 'within', 'his', 'reach,', 'Oliver', 'replied', 'in', 'the\n', 'affirmative.\n', '\n', ""'Then"", 'come', 'with', ""me,'"", 'said', 'Mrs.', 'Sowerberry:', 'taking', 'up', 'a', 'dim', 'and', 'dirty\n']",CharlesDickens
"['lamp,', 'and', 'leading', 'the', 'way', 'upstairs;', ""'your"", ""bed's"", 'under', 'the', 'counter.', '', 'You\n', ""don't"", 'mind', 'sleeping', 'among', 'the', 'coffins,', 'I', 'suppose?', 'But', 'it', ""doesn't"", 'much\n']",CharlesDickens
"['matter', 'whether', 'you', 'do', 'or', ""don't,"", 'for', 'you', ""can't"", 'sleep', 'anywhere', 'else.\n', 'Come;', ""don't"", 'keep', 'me', 'here', 'all', ""night!'\n"", '\n', 'Oliver', 'lingered', 'no', 'longer,', 'but']",CharlesDickens
"['meekly', 'followed', 'his', 'new', 'mistress.\n', '\n', '\n', '\n', 'CHAPTER', 'V\n', '\n', 'OLIVER', 'MINGLES', 'WITH', 'NEW', 'ASSOCIATES.', '', 'GOING', 'TO', 'A', 'FUNERAL', 'FOR', 'THE', 'FIRST\n', 'TIME,']",CharlesDickens
"['HE', 'FORMS', 'AN', 'UNFAVOURABLE', 'NOTION', 'OF', 'HIS', ""MASTER'S"", 'BUSINESS\n', '\n', 'Oliver,', 'being', 'left', 'to', 'himself', 'in', 'the', ""undertaker's"", 'shop,', 'set', 'the', 'lamp\n', 'down', 'on', 'a']",CharlesDickens
"[""workman's"", 'bench,', 'and', 'gazed', 'timidly', 'about', 'him', 'with', 'a', 'feeling\n', 'of', 'awe', 'and', 'dread,', 'which', 'many', 'people', 'a', 'good', 'deal', 'older', 'than', 'he', 'will', 'be\n']",CharlesDickens
"['at', 'no', 'loss', 'to', 'understand.', '', 'An', 'unfinished', 'coffin', 'on', 'black', 'tressels,\n', 'which', 'stood', 'in', 'the', 'middle', 'of', 'the', 'shop,', 'looked', 'so', 'gloomy', 'and', 'death-like\n']",CharlesDickens
"['that', 'a', 'cold', 'tremble', 'came', 'over', 'him,', 'every', 'time', 'his', 'eyes', 'wandered', 'in', 'the\n', 'direction', 'of', 'the', 'dismal', 'object:', 'from', 'which', 'he', 'almost', 'expected', 'to']",CharlesDickens
"['see\n', 'some', 'frightful', 'form', 'slowly', 'rear', 'its', 'head,', 'to', 'drive', 'him', 'mad', 'with', 'terror.\n', 'Against', 'the', 'wall', 'were', 'ranged,', 'in', 'regular', 'array,', 'a', 'long', 'row']",CharlesDickens
"['of', 'elm\n', 'boards', 'cut', 'in', 'the', 'same', 'shape:', 'looking', 'in', 'the', 'dim', 'light,', 'like\n', 'high-shouldered', 'ghosts', 'with', 'their', 'hands', 'in', 'their', 'breeches', 'pockets.\n', 'Coffin-plates,', 'elm-chips,']",CharlesDickens
"['bright-headed', 'nails,', 'and', 'shreds', 'of', 'black\n', 'cloth,', 'lay', 'scattered', 'on', 'the', 'floor;', 'and', 'the', 'wall', 'behind', 'the', 'counter', 'was\n', 'ornamented', 'with', 'a', 'lively', 'representation', 'of']",CharlesDickens
"['two', 'mutes', 'in', 'very', 'stiff\n', 'neckcloths,', 'on', 'duty', 'at', 'a', 'large', 'private', 'door,', 'with', 'a', 'hearse', 'drawn', 'by\n', 'four', 'black', 'steeds,', 'approaching', 'in', 'the', 'distance.']",CharlesDickens
"['The', 'shop', 'was', 'close', 'and\n', 'hot.', '', 'The', 'atmosphere', 'seemed', 'tainted', 'with', 'the', 'smell', 'of', 'coffins.', '', 'The\n', 'recess', 'beneath', 'the', 'counter', 'in', 'which', 'his']",CharlesDickens
"['flock', 'mattress', 'was', 'thrust,\n', 'looked', 'like', 'a', 'grave.\n', '\n', 'Nor', 'were', 'these', 'the', 'only', 'dismal', 'feelings', 'which', 'depressed', 'Oliver.', 'He', 'was\n', 'alone', 'in', 'a', 'strange']",CharlesDickens
"['place;', 'and', 'we', 'all', 'know', 'how', 'chilled', 'and', 'desolate', 'the\n', 'best', 'of', 'us', 'will', 'sometimes', 'feel', 'in', 'such', 'a', 'situation.', 'The', 'boy', 'had', 'no\n', 'friends']",CharlesDickens
"['to', 'care', 'for,', 'or', 'to', 'care', 'for', 'him.', '', 'The', 'regret', 'of', 'no', 'recent\n', 'separation', 'was', 'fresh', 'in', 'his', 'mind;', 'the', 'absence', 'of', 'no', 'loved']",CharlesDickens
"['and\n', 'well-remembered', 'face', 'sank', 'heavily', 'into', 'his', 'heart.\n', '\n', 'But', 'his', 'heart', 'was', 'heavy,', 'notwithstanding;', 'and', 'he', 'wished,', 'as', 'he', 'crept\n', 'into', 'his', 'narrow', 'bed,']",CharlesDickens
"['that', 'that', 'were', 'his', 'coffin,', 'and', 'that', 'he', 'could', 'be\n', 'lain', 'in', 'a', 'calm', 'and', 'lasting', 'sleep', 'in', 'the', 'churchyard', 'ground,', 'with', 'the\n', 'tall', 'grass']",CharlesDickens
"['waving', 'gently', 'above', 'his', 'head,', 'and', 'the', 'sound', 'of', 'the', 'old', 'deep\n', 'bell', 'to', 'soothe', 'him', 'in', 'his', 'sleep.\n', '\n', 'Oliver', 'was', 'awakened', 'in', 'the']",CharlesDickens
"['morning,', 'by', 'a', 'loud', 'kicking', 'at', 'the', 'outside', 'of\n', 'the', 'shop-door:', 'which,', 'before', 'he', 'could', 'huddle', 'on', 'his', 'clothes,', 'was\n', 'repeated,', 'in', 'an', 'angry', 'and']",CharlesDickens
"['impetuous', 'manner,', 'about', 'twenty-five', 'times.\n', 'When', 'he', 'began', 'to', 'undo', 'the', 'chain,', 'the', 'legs', 'desisted,', 'and', 'a', 'voice', 'began.\n', '\n', ""'Open"", 'the', 'door,', 'will', ""yer?'""]",CharlesDickens
"['cried', 'the', 'voice', 'which', 'belonged', 'to', 'the', 'legs\n', 'which', 'had', 'kicked', 'at', 'the', 'door.\n', '\n', ""'I"", 'will,', 'directly,', ""sir,'"", 'replied', 'Oliver:', 'undoing', 'the', 'chain,', 'and']",CharlesDickens
"['turning\n', 'the', 'key.\n', '\n', ""'I"", 'suppose', 'yer', 'the', 'new', 'boy,', ""ain't"", ""yer?'"", 'said', 'the', 'voice', 'through', 'the\n', 'key-hole.\n', '\n', ""'Yes,"", ""sir,'"", 'replied', 'Oliver.\n', '\n', ""'How""]",CharlesDickens
"['old', 'are', ""yer?'"", 'inquired', 'the', 'voice.\n', '\n', ""'Ten,"", ""sir,'"", 'replied', 'Oliver.\n', '\n', ""'Then"", ""I'll"", 'whop', 'yer', 'when', 'I', 'get', ""in,'"", 'said', 'the', 'voice;', ""'you"", 'just']",CharlesDickens
"['see', 'if', 'I\n', ""don't,"", ""that's"", 'all,', 'my', ""work'us"", ""brat!'"", 'and', 'having', 'made', 'this', 'obliging\n', 'promise,', 'the', 'voice', 'began', 'to', 'whistle.\n', '\n', 'Oliver', 'had', 'been', 'too']",CharlesDickens
"['often', 'subjected', 'to', 'the', 'process', 'to', 'which', 'the', 'very\n', 'expressive', 'monosyllable', 'just', 'recorded', 'bears', 'reference,', 'to', 'entertain', 'the\n', 'smallest', 'doubt', 'that', 'the', 'owner', 'of', 'the']",CharlesDickens
"['voice,', 'whoever', 'he', 'might', 'be,', 'would\n', 'redeem', 'his', 'pledge,', 'most', 'honourably.', 'He', 'drew', 'back', 'the', 'bolts', 'with', 'a\n', 'trembling', 'hand,', 'and', 'opened', 'the', 'door.\n', '\n']",CharlesDickens
"['For', 'a', 'second', 'or', 'two,', 'Oliver', 'glanced', 'up', 'the', 'street,', 'and', 'down', 'the', 'street,\n', 'and', 'over', 'the', 'way:', 'impressed', 'with', 'the', 'belief', 'that', 'the', 'unknown,']",CharlesDickens
"['who', 'had\n', 'addressed', 'him', 'through', 'the', 'key-hole,', 'had', 'walked', 'a', 'few', 'paces', 'off,', 'to', 'warm\n', 'himself;', 'for', 'nobody', 'did', 'he', 'see', 'but', 'a', 'big', 'charity-boy,']",CharlesDickens
"['sitting', 'on', 'a', 'post\n', 'in', 'front', 'of', 'the', 'house,', 'eating', 'a', 'slice', 'of', 'bread', 'and', 'butter:', 'which', 'he', 'cut\n', 'into', 'wedges,', 'the', 'size', 'of', 'his']",CharlesDickens
"['mouth,', 'with', 'a', 'clasp-knife,', 'and', 'then\n', 'consumed', 'with', 'great', 'dexterity.\n', '\n', ""'I"", 'beg', 'your', 'pardon,', ""sir,'"", 'said', 'Oliver', 'at', 'length:', 'seeing', 'that', 'no', 'other\n', 'visitor']",CharlesDickens
"['made', 'his', 'appearance;', ""'did"", 'you', ""knock?'\n"", '\n', ""'I"", ""kicked,'"", 'replied', 'the', 'charity-boy.\n', '\n', ""'Did"", 'you', 'want', 'a', 'coffin,', ""sir?'"", 'inquired', 'Oliver,', 'innocently.\n', '\n', 'At', 'this,']",CharlesDickens
"['the', 'charity-boy', 'looked', 'monstrous', 'fierce;', 'and', 'said', 'that', 'Oliver\n', 'would', 'want', 'one', 'before', 'long,', 'if', 'he', 'cut', 'jokes', 'with', 'his', 'superiors', 'in', 'that\n', 'way.\n', '\n']",CharlesDickens
"[""'Yer"", ""don't"", 'know', 'who', 'I', 'am,', 'I', 'suppose,', ""Work'us?'"", 'said', 'the', 'charity-boy,', 'in\n', 'continuation:', 'descending', 'from', 'the', 'top', 'of', 'the', 'post,', 'meanwhile,', 'with\n', 'edifying', 'gravity.\n']",CharlesDickens
"['\n', ""'No,"", ""sir,'"", 'rejoined', 'Oliver.\n', '\n', ""'I'm"", 'Mister', 'Noah', ""Claypole,'"", 'said', 'the', 'charity-boy,', ""'and"", ""you're"", 'under', 'me.\n', 'Take', 'down', 'the', 'shutters,', 'yer', 'idle', 'young', ""ruffian!'""]",CharlesDickens
"['With', 'this,', 'Mr.\n', 'Claypole', 'administered', 'a', 'kick', 'to', 'Oliver,', 'and', 'entered', 'the', 'shop', 'with', 'a\n', 'dignified', 'air,', 'which', 'did', 'him', 'great', 'credit.', '', 'It', 'is']",CharlesDickens
"['difficult', 'for', 'a\n', 'large-headed,', 'small-eyed', 'youth,', 'of', 'lumbering', 'make', 'and', 'heavy\n', 'countenance,', 'to', 'look', 'dignified', 'under', 'any', 'circumstances;', 'but', 'it', 'is', 'more\n', 'especially', 'so,', 'when']",CharlesDickens
"['superadded', 'to', 'these', 'personal', 'attractions', 'are', 'a', 'red\n', 'nose', 'and', 'yellow', 'smalls.\n', '\n', 'Oliver,', 'having', 'taken', 'down', 'the', 'shutters,', 'and', 'broken', 'a', 'pane', 'of', 'glass']",CharlesDickens
"['in\n', 'his', 'effort', 'to', 'stagger', 'away', 'beneath', 'the', 'weight', 'of', 'the', 'first', 'one', 'to', 'a\n', 'small', 'court', 'at', 'the', 'side', 'of', 'the', 'house', 'in', 'which']",CharlesDickens
"['they', 'were', 'kept', 'during', 'the\n', 'day,', 'was', 'graciously', 'assisted', 'by', 'Noah:', 'who', 'having', 'consoled', 'him', 'with', 'the\n', 'assurance', 'that', ""'he'd"", 'catch', ""it,'"", 'condescended', 'to', 'help']",CharlesDickens
"['him.', '', 'Mr.\n', 'Sowerberry', 'came', 'down', 'soon', 'after.', 'Shortly', 'afterwards,', 'Mrs.', 'Sowerberry\n', 'appeared.', '', 'Oliver', 'having', ""'caught"", ""it,'"", 'in', 'fulfilment', 'of', ""Noah's\n"", 'prediction,', 'followed', 'that']",CharlesDickens
"['young', 'gentleman', 'down', 'the', 'stairs', 'to', 'breakfast.\n', '\n', ""'Come"", 'near', 'the', 'fire,', ""Noah,'"", 'said', 'Charlotte.', '', ""'I"", 'saved', 'a', 'nice', 'little', 'bit\n', 'of', 'bacon', 'for']",CharlesDickens
"['you', 'from', ""master's"", 'breakfast.', '', 'Oliver,', 'shut', 'that', 'door', 'at\n', 'Mister', ""Noah's"", 'back,', 'and', 'take', 'them', 'bits', 'that', ""I've"", 'put', 'out', 'on', 'the', 'cover\n', 'of']",CharlesDickens
"['the', 'bread-pan.', '', ""There's"", 'your', 'tea;', 'take', 'it', 'away', 'to', 'that', 'box,', 'and\n', 'drink', 'it', 'there,', 'and', 'make', 'haste,', 'for', ""they'll"", 'want', 'you', 'to', 'mind']",CharlesDickens
"['the', 'shop.\n', ""D'ye"", ""hear?'\n"", '\n', ""'D'ye"", 'hear,', ""Work'us?'"", 'said', 'Noah', 'Claypole.\n', '\n', ""'Lor,"", ""Noah!'"", 'said', 'Charlotte,', ""'what"", 'a', 'rum', 'creature', 'you', 'are!', '', 'Why', ""don't\n""]",CharlesDickens
