sequences,author
"['with\n', 'wonder;', 'the', 'boys', 'with', 'fear.\n', '\n', ""'What!'"", 'said', 'the', 'master', 'at', 'length,', 'in', 'a', 'faint', 'voice.\n', '\n', ""'Please,"", ""sir,'"", 'replied', 'Oliver,', ""'I"", 'want', 'some']",CharlesDickens
"[""more.'\n"", '\n', 'The', 'master', 'aimed', 'a', 'blow', 'at', ""Oliver's"", 'head', 'with', 'the', 'ladle;', 'pinioned', 'him\n', 'in', 'his', 'arm;', 'and', 'shrieked', 'aloud', 'for', 'the', 'beadle.\n', '\n']",CharlesDickens
"['The', 'board', 'were', 'sitting', 'in', 'solemn', 'conclave,', 'when', 'Mr.', 'Bumble', 'rushed', 'into\n', 'the', 'room', 'in', 'great', 'excitement,', 'and', 'addressing', 'the', 'gentleman', 'in', 'the', 'high\n', 'chair,']",CharlesDickens
"['said,\n', '\n', ""'Mr."", 'Limbkins,', 'I', 'beg', 'your', 'pardon,', 'sir!', '', 'Oliver', 'Twist', 'has', 'asked', 'for\n', ""more!'\n"", '\n', 'There', 'was', 'a', 'general', 'start.', '', 'Horror', 'was']",CharlesDickens
"['depicted', 'on', 'every', 'countenance.\n', '\n', ""'For"", ""_more_!'"", 'said', 'Mr.', 'Limbkins.', '', ""'Compose"", 'yourself,', 'Bumble,', 'and', 'answer\n', 'me', 'distinctly.', '', 'Do', 'I', 'understand', 'that', 'he', 'asked']",CharlesDickens
"['for', 'more,', 'after', 'he', 'had\n', 'eaten', 'the', 'supper', 'allotted', 'by', 'the', ""dietary?'\n"", '\n', ""'He"", 'did,', ""sir,'"", 'replied', 'Bumble.\n', '\n', ""'That"", 'boy', 'will', 'be', ""hung,'"", 'said']",CharlesDickens
"['the', 'gentleman', 'in', 'the', 'white', 'waistcoat.', '', ""'I\n"", 'know', 'that', 'boy', 'will', 'be', ""hung.'\n"", '\n', 'Nobody', 'controverted', 'the', 'prophetic', ""gentleman's"", 'opinion.', '', 'An', 'animated\n', 'discussion']",CharlesDickens
"['took', 'place.', '', 'Oliver', 'was', 'ordered', 'into', 'instant', 'confinement;\n', 'and', 'a', 'bill', 'was', 'next', 'morning', 'pasted', 'on', 'the', 'outside', 'of', 'the', 'gate,', 'offering\n', 'a', 'reward']",CharlesDickens
"['of', 'five', 'pounds', 'to', 'anybody', 'who', 'would', 'take', 'Oliver', 'Twist', 'off', 'the\n', 'hands', 'of', 'the', 'parish.', '', 'In', 'other', 'words,', 'five', 'pounds', 'and', 'Oliver', 'Twist']",CharlesDickens
"['were\n', 'offered', 'to', 'any', 'man', 'or', 'woman', 'who', 'wanted', 'an', 'apprentice', 'to', 'any', 'trade,\n', 'business,', 'or', 'calling.\n', '\n', ""'I"", 'never', 'was', 'more', 'convinced', 'of', 'anything']",CharlesDickens
"['in', 'my', ""life,'"", 'said', 'the', 'gentleman\n', 'in', 'the', 'white', 'waistcoat,', 'as', 'he', 'knocked', 'at', 'the', 'gate', 'and', 'read', 'the', 'bill\n', 'next', 'morning:', ""'I"", 'never', 'was']",CharlesDickens
"['more', 'convinced', 'of', 'anything', 'in', 'my', 'life,', 'than\n', 'I', 'am', 'that', 'that', 'boy', 'will', 'come', 'to', 'be', ""hung.'\n"", '\n', 'As', 'I', 'purpose', 'to', 'show', 'in']",CharlesDickens
"['the', 'sequel', 'whether', 'the', 'white', 'waistcoated\n', 'gentleman', 'was', 'right', 'or', 'not,', 'I', 'should', 'perhaps', 'mar', 'the', 'interest', 'of', 'this\n', 'narrative', '(supposing', 'it', 'to', 'possess', 'any']",CharlesDickens
"['at', 'all),', 'if', 'I', 'ventured', 'to', 'hint\n', 'just', 'yet,', 'whether', 'the', 'life', 'of', 'Oliver', 'Twist', 'had', 'this', 'violent', 'termination\n', 'or', 'no.\n', '\n', '\n', '\n', 'CHAPTER']",CharlesDickens
"['III\n', '\n', 'RELATES', 'HOW', 'OLIVER', 'TWIST', 'WAS', 'VERY', 'NEAR', 'GETTING', 'A', 'PLACE', 'WHICH', 'WOULD', 'NOT\n', 'HAVE', 'BEEN', 'A', 'SINECURE\n', '\n', 'For', 'a', 'week', 'after', 'the']",CharlesDickens
"['commission', 'of', 'the', 'impious', 'and', 'profane', 'offence', 'of\n', 'asking', 'for', 'more,', 'Oliver', 'remained', 'a', 'close', 'prisoner', 'in', 'the', 'dark', 'and\n', 'solitary', 'room', 'to', 'which', 'he']",CharlesDickens
"['had', 'been', 'consigned', 'by', 'the', 'wisdom', 'and', 'mercy', 'of\n', 'the', 'board.', '', 'It', 'appears,', 'at', 'first', 'sight', 'not', 'unreasonable', 'to', 'suppose,\n', 'that,', 'if', 'he', 'had']",CharlesDickens
"['entertained', 'a', 'becoming', 'feeling', 'of', 'respect', 'for', 'the\n', 'prediction', 'of', 'the', 'gentleman', 'in', 'the', 'white', 'waistcoat,', 'he', 'would', 'have\n', 'established', 'that', 'sage', ""individual's"", 'prophetic', 'character,']",CharlesDickens
"['once', 'and', 'for\n', 'ever,', 'by', 'tying', 'one', 'end', 'of', 'his', 'pocket-handkerchief', 'to', 'a', 'hook', 'in', 'the\n', 'wall,', 'and', 'attaching', 'himself', 'to', 'the', 'other.', '', 'To']",CharlesDickens
"['the', 'performance', 'of', 'this\n', 'feat,', 'however,', 'there', 'was', 'one', 'obstacle:', 'namely,', 'that\n', 'pocket-handkerchiefs', 'being', 'decided', 'articles', 'of', 'luxury,', 'had', 'been,', 'for\n', 'all', 'future', 'times', 'and']",CharlesDickens
"['ages,', 'removed', 'from', 'the', 'noses', 'of', 'paupers', 'by', 'the\n', 'express', 'order', 'of', 'the', 'board,', 'in', 'council', 'assembled:', 'solemnly', 'given', 'and\n', 'pronounced', 'under', 'their', 'hands', 'and']",CharlesDickens
"['seals.', '', 'There', 'was', 'a', 'still', 'greater\n', 'obstacle', 'in', ""Oliver's"", 'youth', 'and', 'childishness.', '', 'He', 'only', 'cried', 'bitterly\n', 'all', 'day;', 'and,', 'when', 'the', 'long,', 'dismal']",CharlesDickens
"['night', 'came', 'on,', 'spread', 'his', 'little\n', 'hands', 'before', 'his', 'eyes', 'to', 'shut', 'out', 'the', 'darkness,', 'and', 'crouching', 'in', 'the\n', 'corner,', 'tried', 'to', 'sleep:', 'ever', 'and']",CharlesDickens
"['anon', 'waking', 'with', 'a', 'start', 'and', 'tremble,\n', 'and', 'drawing', 'himself', 'closer', 'and', 'closer', 'to', 'the', 'wall,', 'as', 'if', 'to', 'feel', 'even\n', 'its', 'cold', 'hard', 'surface']",CharlesDickens
"['were', 'a', 'protection', 'in', 'the', 'gloom', 'and', 'loneliness\n', 'which', 'surrounded', 'him.\n', '\n', 'Let', 'it', 'not', 'be', 'supposed', 'by', 'the', 'enemies', 'of', ""'the"", ""system,'"", 'that,', 'during']",CharlesDickens
"['the\n', 'period', 'of', 'his', 'solitary', 'incarceration,', 'Oliver', 'was', 'denied', 'the', 'benefit', 'of\n', 'exercise,', 'the', 'pleasure', 'of', 'society,', 'or', 'the', 'advantages', 'of', 'religious\n', 'consolation.', '', 'As']",CharlesDickens
"['for', 'exercise,', 'it', 'was', 'nice', 'cold', 'weather,', 'and', 'he', 'was\n', 'allowed', 'to', 'perform', 'his', 'ablutions', 'every', 'morning', 'under', 'the', 'pump,', 'in', 'a\n', 'stone', 'yard,', 'in']",CharlesDickens
"['the', 'presence', 'of', 'Mr.', 'Bumble,', 'who', 'prevented', 'his', 'catching\n', 'cold,', 'and', 'caused', 'a', 'tingling', 'sensation', 'to', 'pervade', 'his', 'frame,', 'by', 'repeated\n', 'applications', 'of', 'the', 'cane.']",CharlesDickens
"['', 'As', 'for', 'society,', 'he', 'was', 'carried', 'every', 'other\n', 'day', 'into', 'the', 'hall', 'where', 'the', 'boys', 'dined,', 'and', 'there', 'sociably', 'flogged', 'as', 'a\n', 'public', 'warning']",CharlesDickens
"['and', 'example.', '', 'And', 'so', 'far', 'from', 'being', 'denied', 'the\n', 'advantages', 'of', 'religious', 'consolation,', 'he', 'was', 'kicked', 'into', 'the', 'same\n', 'apartment', 'every', 'evening', 'at', 'prayer-time,']",CharlesDickens
"['and', 'there', 'permitted', 'to', 'listen\n', 'to,', 'and', 'console', 'his', 'mind', 'with,', 'a', 'general', 'supplication', 'of', 'the', 'boys,\n', 'containing', 'a', 'special', 'clause,', 'therein', 'inserted', 'by', 'authority']",CharlesDickens
"['of', 'the\n', 'board,', 'in', 'which', 'they', 'entreated', 'to', 'be', 'made', 'good,', 'virtuous,', 'contented,\n', 'and', 'obedient,', 'and', 'to', 'be', 'guarded', 'from', 'the', 'sins', 'and', 'vices', 'of']",CharlesDickens
"['Oliver\n', 'Twist:', 'whom', 'the', 'supplication', 'distinctly', 'set', 'forth', 'to', 'be', 'under', 'the\n', 'exclusive', 'patronage', 'and', 'protection', 'of', 'the', 'powers', 'of', 'wickedness,', 'and', 'an\n', 'article', 'direct']",CharlesDickens
"['from', 'the', 'manufactory', 'of', 'the', 'very', 'Devil', 'himself.\n', '\n', 'It', 'chanced', 'one', 'morning,', 'while', ""Oliver's"", 'affairs', 'were', 'in', 'this', 'auspicious\n', 'and', 'comfortable', 'state,', 'that', 'Mr.']",CharlesDickens
"['Gamfield,', 'chimney-sweep,', 'went', 'his', 'way\n', 'down', 'the', 'High', 'Street,', 'deeply', 'cogitating', 'in', 'his', 'mind', 'his', 'ways', 'and', 'means\n', 'of', 'paying', 'certain', 'arrears', 'of', 'rent,', 'for']",CharlesDickens
"['which', 'his', 'landlord', 'had', 'become\n', 'rather', 'pressing.', '', 'Mr.', ""Gamfield's"", 'most', 'sanguine', 'estimate', 'of', 'his', 'finances\n', 'could', 'not', 'raise', 'them', 'within', 'full', 'five', 'pounds', 'of']",CharlesDickens
"['the', 'desired', 'amount;\n', 'and,', 'in', 'a', 'species', 'of', 'arithmetical', 'desperation,', 'he', 'was', 'alternately\n', 'cudgelling', 'his', 'brains', 'and', 'his', 'donkey,', 'when', 'passing', 'the', 'workhouse,', 'his\n', 'eyes']",CharlesDickens
"['encountered', 'the', 'bill', 'on', 'the', 'gate.\n', '\n', ""'Wo--o!'"", 'said', 'Mr.', 'Gamfield', 'to', 'the', 'donkey.\n', '\n', 'The', 'donkey', 'was', 'in', 'a', 'state', 'of', 'profound', 'abstraction:', 'wondering,']",CharlesDickens
"['probably,\n', 'whether', 'he', 'was', 'destined', 'to', 'be', 'regaled', 'with', 'a', 'cabbage-stalk', 'or', 'two', 'when\n', 'he', 'had', 'disposed', 'of', 'the', 'two', 'sacks', 'of', 'soot', 'with', 'which']",CharlesDickens
"['the', 'little', 'cart', 'was\n', 'laden;', 'so,', 'without', 'noticing', 'the', 'word', 'of', 'command,', 'he', 'jogged', 'onward.\n', '\n', 'Mr.', 'Gamfield', 'growled', 'a', 'fierce', 'imprecation', 'on', 'the', 'donkey']",CharlesDickens
"['generally,', 'but\n', 'more', 'particularly', 'on', 'his', 'eyes;', 'and,', 'running', 'after', 'him,', 'bestowed', 'a', 'blow\n', 'on', 'his', 'head,', 'which', 'would', 'inevitably', 'have', 'beaten', 'in', 'any', 'skull']",CharlesDickens
"['but', 'a\n', ""donkey's."", '', 'Then,', 'catching', 'hold', 'of', 'the', 'bridle,', 'he', 'gave', 'his', 'jaw', 'a', 'sharp\n', 'wrench,', 'by', 'way', 'of', 'gentle', 'reminder', 'that', 'he', 'was']",CharlesDickens
"['not', 'his', 'own', 'master;', 'and\n', 'by', 'these', 'means', 'turned', 'him', 'round.', '', 'He', 'then', 'gave', 'him', 'another', 'blow', 'on', 'the\n', 'head,', 'just', 'to', 'stun', 'him']",CharlesDickens
"['till', 'he', 'came', 'back', 'again.', '', 'Having', 'completed', 'these\n', 'arrangements,', 'he', 'walked', 'up', 'to', 'the', 'gate,', 'to', 'read', 'the', 'bill.\n', '\n', 'The', 'gentleman', 'with', 'the']",CharlesDickens
"['white', 'waistcoat', 'was', 'standing', 'at', 'the', 'gate', 'with\n', 'his', 'hands', 'behind', 'him,', 'after', 'having', 'delivered', 'himself', 'of', 'some', 'profound\n', 'sentiments', 'in', 'the', 'board-room.', '', 'Having']",CharlesDickens
"['witnessed', 'the', 'little', 'dispute\n', 'between', 'Mr.', 'Gamfield', 'and', 'the', 'donkey,', 'he', 'smiled', 'joyously', 'when', 'that\n', 'person', 'came', 'up', 'to', 'read', 'the', 'bill,', 'for', 'he', 'saw']",CharlesDickens
"['at', 'once', 'that', 'Mr.', 'Gamfield\n', 'was', 'exactly', 'the', 'sort', 'of', 'master', 'Oliver', 'Twist', 'wanted.', '', 'Mr.', 'Gamfield\n', 'smiled,', 'too,', 'as', 'he', 'perused', 'the', 'document;', 'for']",CharlesDickens
"['five', 'pounds', 'was', 'just', 'the\n', 'sum', 'he', 'had', 'been', 'wishing', 'for;', 'and,', 'as', 'to', 'the', 'boy', 'with', 'which', 'it', 'was\n', 'encumbered,', 'Mr.', 'Gamfield,', 'knowing', 'what']",CharlesDickens
"['the', 'dietary', 'of', 'the', 'workhouse\n', 'was,', 'well', 'knew', 'he', 'would', 'be', 'a', 'nice', 'small', 'pattern,', 'just', 'the', 'very', 'thing\n', 'for', 'register', 'stoves.', '', 'So,', 'he']",CharlesDickens
"['spelt', 'the', 'bill', 'through', 'again,', 'from\n', 'beginning', 'to', 'end;', 'and', 'then,', 'touching', 'his', 'fur', 'cap', 'in', 'token', 'of', 'humility,\n', 'accosted', 'the', 'gentleman', 'in', 'the', 'white']",CharlesDickens
"['waistcoat.\n', '\n', ""'This"", 'here', 'boy,', 'sir,', 'wot', 'the', 'parish', 'wants', 'to', ""'prentis,'"", 'said', 'Mr.\n', 'Gamfield.\n', '\n', ""'Ay,"", 'my', ""man,'"", 'said', 'the', 'gentleman', 'in', 'the', 'white']",CharlesDickens
"['waistcoat,', 'with', 'a\n', 'condescending', 'smile.', '', ""'What"", 'of', ""him?'\n"", '\n', ""'If"", 'the', 'parish', 'vould', 'like', 'him', 'to', 'learn', 'a', 'right', 'pleasant', 'trade,', 'in', 'a\n', 'good']",CharlesDickens
"[""'spectable"", ""chimbley-sweepin'"", ""bisness,'"", 'said', 'Mr.', 'Gamfield,', ""'I"", 'wants\n', 'a', ""'prentis,"", 'and', 'I', 'am', 'ready', 'to', 'take', ""him.'\n"", '\n', ""'Walk"", ""in,'"", 'said', 'the', 'gentleman', 'in', 'the']",CharlesDickens
"['white', 'waistcoat.', '', 'Mr.', 'Gamfield\n', 'having', 'lingered', 'behind,', 'to', 'give', 'the', 'donkey', 'another', 'blow', 'on', 'the', 'head,\n', 'and', 'another', 'wrench', 'of', 'the', 'jaw,', 'as', 'a']",CharlesDickens
"['caution', 'not', 'to', 'run', 'away', 'in', 'his\n', 'absence,', 'followed', 'the', 'gentleman', 'with', 'the', 'white', 'waistcoat', 'into', 'the', 'room\n', 'where', 'Oliver', 'had', 'first', 'seen', 'him.\n', '\n']",CharlesDickens
"[""'It's"", 'a', 'nasty', ""trade,'"", 'said', 'Mr.', 'Limbkins,', 'when', 'Gamfield', 'had', 'again', 'stated\n', 'his', 'wish.\n', '\n', ""'Young"", 'boys', 'have', 'been', 'smothered', 'in', 'chimneys', 'before', ""now,'"", 'said']",CharlesDickens
"['another\n', 'gentleman.\n', '\n', ""'That's"", 'acause', 'they', 'damped', 'the', 'straw', 'afore', 'they', 'lit', 'it', 'in', 'the', 'chimbley\n', 'to', 'make', ""'em"", 'come', 'down', ""again,'"", 'said', 'Gamfield;', ""'that's""]",CharlesDickens
"['all', 'smoke,', 'and', 'no\n', 'blaze;', 'vereas', 'smoke', ""ain't"", ""o'"", 'no', 'use', 'at', 'all', 'in', 'making', 'a', 'boy', 'come', 'down,\n', 'for', 'it', 'only', 'sinds', 'him', 'to']",CharlesDickens
"['sleep,', 'and', ""that's"", 'wot', 'he', 'likes.', '', 'Boys', 'is', 'wery\n', 'obstinit,', 'and', 'wery', 'lazy,', ""Gen'l'men,"", 'and', ""there's"", 'nothink', 'like', 'a', 'good', 'hot\n', 'blaze', 'to', 'make']",CharlesDickens
"[""'em"", 'come', 'down', 'vith', 'a', 'run.', '', ""It's"", 'humane', 'too,', ""gen'l'men,\n"", 'acause,', 'even', 'if', ""they've"", 'stuck', 'in', 'the', 'chimbley,', 'roasting', 'their', 'feet\n', 'makes', ""'em"", 'struggle']",CharlesDickens
"['to', 'hextricate', ""theirselves.'\n"", '\n', 'The', 'gentleman', 'in', 'the', 'white', 'waistcoat', 'appeared', 'very', 'much', 'amused', 'by', 'this\n', 'explanation;', 'but', 'his', 'mirth', 'was', 'speedily', 'checked', 'by', 'a']",CharlesDickens
"['look', 'from', 'Mr.\n', 'Limbkins.', '', 'The', 'board', 'then', 'proceeded', 'to', 'converse', 'among', 'themselves', 'for', 'a\n', 'few', 'minutes,', 'but', 'in', 'so', 'low', 'a', 'tone,', 'that', 'the']",CharlesDickens
"['words', ""'saving"", 'of\n', ""expenditure,'"", ""'looked"", 'well', 'in', 'the', ""accounts,'"", ""'have"", 'a', 'printed', 'report\n', ""published,'"", 'were', 'alone', 'audible.', '', 'These', 'only', 'chanced', 'to', 'be', 'heard,\n', 'indeed,']",CharlesDickens
"['or', 'account', 'of', 'their', 'being', 'very', 'frequently', 'repeated', 'with', 'great\n', 'emphasis.\n', '\n', 'At', 'length', 'the', 'whispering', 'ceased;', 'and', 'the', 'members', 'of', 'the', 'board,', 'having\n', 'resumed']",CharlesDickens
"['their', 'seats', 'and', 'their', 'solemnity,', 'Mr.', 'Limbkins', 'said:\n', '\n', ""'We"", 'have', 'considered', 'your', 'proposition,', 'and', 'we', ""don't"", 'approve', 'of', ""it.'\n"", '\n', ""'Not"", 'at', ""all,'"", 'said']",CharlesDickens
"['the', 'gentleman', 'in', 'the', 'white', 'waistcoat.\n', '\n', ""'Decidedly"", ""not,'"", 'added', 'the', 'other', 'members.\n', '\n', 'As', 'Mr.', 'Gamfield', 'did', 'happen', 'to', 'labour', 'under', 'the', 'slight', 'imputation']",CharlesDickens
"['of\n', 'having', 'bruised', 'three', 'or', 'four', 'boys', 'to', 'death', 'already,', 'it', 'occurred', 'to', 'him\n', 'that', 'the', 'board', 'had,', 'perhaps,', 'in', 'some', 'unaccountable', 'freak,', 'taken', 'it']",CharlesDickens
"['into\n', 'their', 'heads', 'that', 'this', 'extraneous', 'circumstance', 'ought', 'to', 'influence', 'their\n', 'proceedings.', 'It', 'was', 'very', 'unlike', 'their', 'general', 'mode', 'of', 'doing', 'business,\n', 'if', 'they', 'had;']",CharlesDickens
"['but', 'still,', 'as', 'he', 'had', 'no', 'particular', 'wish', 'to', 'revive', 'the\n', 'rumour,', 'he', 'twisted', 'his', 'cap', 'in', 'his', 'hands,', 'and', 'walked', 'slowly', 'from', 'the\n', 'table.\n']",CharlesDickens
"['\n', ""'So"", 'you', ""won't"", 'let', 'me', 'have', 'him,', ""gen'l'men?'"", 'said', 'Mr.', 'Gamfield,', 'pausing\n', 'near', 'the', 'door.\n', '\n', ""'No,'"", 'replied', 'Mr.', 'Limbkins;', ""'at"", 'least,', 'as', ""it's""]",CharlesDickens
"['a', 'nasty', 'business,', 'we\n', 'think', 'you', 'ought', 'to', 'take', 'something', 'less', 'than', 'the', 'premium', 'we', ""offered.'\n"", '\n', 'Mr.', ""Gamfield's"", 'countenance', 'brightened,', 'as,', 'with', 'a', 'quick']",CharlesDickens
"['step,', 'he\n', 'returned', 'to', 'the', 'table,', 'and', 'said,\n', '\n', ""'What'll"", 'you', 'give,', ""gen'l'men?"", '', 'Come!', '', ""Don't"", 'be', 'too', 'hard', 'on', 'a', 'poor', 'man.\n', ""What'll""]",CharlesDickens
"['you', ""give?'\n"", '\n', ""'I"", 'should', 'say,', 'three', 'pound', 'ten', 'was', ""plenty,'"", 'said', 'Mr.', 'Limbkins.\n', '\n', ""'Ten"", 'shillings', 'too', ""much,'"", 'said', 'the', 'gentleman', 'in', 'the', 'white']",CharlesDickens
"['waistcoat.\n', '\n', ""'Come!'"", 'said', 'Gamfield;', ""'say"", 'four', 'pound,', ""gen'l'men."", '', 'Say', 'four', 'pound,', 'and\n', ""you've"", 'got', 'rid', 'of', 'him', 'for', 'good', 'and', 'all.', '', ""There!'\n""]",CharlesDickens
"['\n', ""'Three"", 'pound', ""ten,'"", 'repeated', 'Mr.', 'Limbkins,', 'firmly.\n', '\n', ""'Come!"", '', ""I'll"", 'split', 'the', ""diff'erence,"", ""gen'l'men,'"", 'urged', 'Gamfield.', ""'Three\n"", 'pound', ""fifteen.'\n"", '\n', ""'Not"", 'a', 'farthing']",CharlesDickens
"[""more,'"", 'was', 'the', 'firm', 'reply', 'of', 'Mr.', 'Limbkins.\n', '\n', ""'You're"", 'desperate', 'hard', 'upon', 'me,', ""gen'l'men,'"", 'said', 'Gamfield,', 'wavering.\n', '\n', ""'Pooh!"", '', 'pooh!', '', ""nonsense!'"", 'said']",CharlesDickens
"['the', 'gentleman', 'in', 'the', 'white', 'waistcoat.\n', ""'He'd"", 'be', 'cheap', 'with', 'nothing', 'at', 'all,', 'as', 'a', 'premium.', 'Take', 'him,', 'you', 'silly\n', 'fellow!', '', ""He's"", 'just', 'the']",CharlesDickens
"['boy', 'for', 'you.', '', 'He', 'wants', 'the', 'stick,', 'now', 'and', 'then:\n', ""it'll"", 'do', 'him', 'good;', 'and', 'his', 'board', ""needn't"", 'come', 'very', 'expensive,', 'for', 'he\n', ""hasn't""]",CharlesDickens
"['been', 'overfed', 'since', 'he', 'was', 'born.', '', 'Ha!', '', 'ha!', '', ""ha!'\n"", '\n', 'Mr.', 'Gamfield', 'gave', 'an', 'arch', 'look', 'at', 'the', 'faces', 'round', 'the', 'table,']",CharlesDickens
"['and,\n', 'observing', 'a', 'smile', 'on', 'all', 'of', 'them,', 'gradually', 'broke', 'into', 'a', 'smile', 'himself.\n', 'The', 'bargain', 'was', 'made.', '', 'Mr.', 'Bumble,', 'was', 'at', 'once', 'instructed']",CharlesDickens
"['that', 'Oliver\n', 'Twist', 'and', 'his', 'indentures', 'were', 'to', 'be', 'conveyed', 'before', 'the', 'magistrate,', 'for\n', 'signature', 'and', 'approval,', 'that', 'very', 'afternoon.\n', '\n', 'In', 'pursuance', 'of', 'this']",CharlesDickens
"['determination,', 'little', 'Oliver,', 'to', 'his', 'excessive\n', 'astonishment,', 'was', 'released', 'from', 'bondage,', 'and', 'ordered', 'to', 'put', 'himself\n', 'into', 'a', 'clean', 'shirt.', '', 'He', 'had', 'hardly', 'achieved']",CharlesDickens
"['this', 'very', 'unusual', 'gymnastic\n', 'performance,', 'when', 'Mr.', 'Bumble', 'brought', 'him,', 'with', 'his', 'own', 'hands,', 'a', 'basin\n', 'of', 'gruel,', 'and', 'the', 'holiday', 'allowance', 'of', 'two', 'ounces']",CharlesDickens
"['and', 'a', 'quarter', 'of\n', 'bread.', 'At', 'this', 'tremendous', 'sight,', 'Oliver', 'began', 'to', 'cry', 'very', 'piteously:\n', 'thinking,', 'not', 'unnaturally,', 'that', 'the', 'board', 'must', 'have', 'determined', 'to']",CharlesDickens
"['kill\n', 'him', 'for', 'some', 'useful', 'purpose,', 'or', 'they', 'never', 'would', 'have', 'begun', 'to', 'fatten\n', 'him', 'up', 'in', 'that', 'way.\n', '\n', ""'Don't"", 'make', 'your', 'eyes', 'red,']",CharlesDickens
"['Oliver,', 'but', 'eat', 'your', 'food', 'and', 'be', ""thankful,'\n"", 'said', 'Mr.', 'Bumble,', 'in', 'a', 'tone', 'of', 'impressive', 'pomposity.', ""'You're"", 'a', 'going', 'to\n', 'be', 'made', 'a', ""'prentice""]",CharlesDickens
"['of,', ""Oliver.'\n"", '\n', ""'A"", 'prentice,', ""sir!'"", 'said', 'the', 'child,', 'trembling.\n', '\n', ""'Yes,"", ""Oliver,'"", 'said', 'Mr.', 'Bumble.', '', ""'The"", 'kind', 'and', 'blessed', 'gentleman', 'which\n', 'is', 'so']",CharlesDickens
"['many', 'parents', 'to', 'you,', 'Oliver,', 'when', 'you', 'have', 'none', 'of', 'your', 'own:', 'are\n', 'a', 'going', 'to', ""'prentice'"", 'you:', 'and', 'to', 'set', 'you', 'up', 'in', 'life,']",CharlesDickens
"['and', 'make', 'a', 'man', 'of\n', 'you:', 'although', 'the', 'expense', 'to', 'the', 'parish', 'is', 'three', 'pound', 'ten!--three\n', 'pound', 'ten,', 'Oliver!--seventy', 'shillins--one', 'hundred', 'and', 'forty\n', 'sixpences!--and', 'all']",CharlesDickens
"['for', 'a', 'naughty', 'orphan', 'which', 'nobody', ""can't"", ""love.'\n"", '\n', 'As', 'Mr.', 'Bumble', 'paused', 'to', 'take', 'breath,', 'after', 'delivering', 'this', 'address', 'in\n', 'an', 'awful', 'voice,', 'the']",CharlesDickens
"['tears', 'rolled', 'down', 'the', 'poor', ""child's"", 'face,', 'and', 'he\n', 'sobbed', 'bitterly.\n', '\n', ""'Come,'"", 'said', 'Mr.', 'Bumble,', 'somewhat', 'less', 'pompously,', 'for', 'it', 'was', 'gratifying\n', 'to', 'his']",CharlesDickens
"['feelings', 'to', 'observe', 'the', 'effect', 'his', 'eloquence', 'had', 'produced;\n', ""'Come,"", 'Oliver!', '', 'Wipe', 'your', 'eyes', 'with', 'the', 'cuffs', 'of', 'your', 'jacket,', 'and', ""don't\n"", 'cry', 'into']",CharlesDickens
"['your', 'gruel;', ""that's"", 'a', 'very', 'foolish', 'action,', ""Oliver.'"", '', 'It\n', 'certainly', 'was,', 'for', 'there', 'was', 'quite', 'enough', 'water', 'in', 'it', 'already.\n', '\n', 'On', 'their', 'way']",CharlesDickens
"['to', 'the', 'magistrate,', 'Mr.', 'Bumble', 'instructed', 'Oliver', 'that', 'all\n', 'he', 'would', 'have', 'to', 'do,', 'would', 'be', 'to', 'look', 'very', 'happy,', 'and', 'say,', 'when', 'the\n', 'gentleman']",CharlesDickens
"['asked', 'him', 'if', 'he', 'wanted', 'to', 'be', 'apprenticed,', 'that', 'he', 'should', 'like\n', 'it', 'very', 'much', 'indeed;', 'both', 'of', 'which', 'injunctions', 'Oliver', 'promised', 'to', 'obey:\n', 'the']",CharlesDickens
"['rather', 'as', 'Mr.', 'Bumble', 'threw', 'in', 'a', 'gentle', 'hint,', 'that', 'if', 'he', 'failed', 'in\n', 'either', 'particular,', 'there', 'was', 'no', 'telling', 'what', 'would', 'be', 'done', 'to']",CharlesDickens
"['him.', 'When\n', 'they', 'arrived', 'at', 'the', 'office,', 'he', 'was', 'shut', 'up', 'in', 'a', 'little', 'room', 'by', 'himself,\n', 'and', 'admonished', 'by', 'Mr.', 'Bumble', 'to', 'stay', 'there,']",CharlesDickens
"['until', 'he', 'came', 'back', 'to', 'fetch\n', 'him.\n', '\n', 'There', 'the', 'boy', 'remained,', 'with', 'a', 'palpitating', 'heart,', 'for', 'half', 'an', 'hour.', '', 'At\n', 'the', 'expiration', 'of']",CharlesDickens
"['which', 'time', 'Mr.', 'Bumble', 'thrust', 'in', 'his', 'head,', 'unadorned\n', 'with', 'the', 'cocked', 'hat,', 'and', 'said', 'aloud:\n', '\n', ""'Now,"", 'Oliver,', 'my', 'dear,', 'come', 'to', 'the', ""gentleman.'""]",CharlesDickens
"['', 'As', 'Mr.', 'Bumble', 'said\n', 'this,', 'he', 'put', 'on', 'a', 'grim', 'and', 'threatening', 'look,', 'and', 'added,', 'in', 'a', 'low', 'voice,\n', ""'Mind"", 'what', 'I', 'told', 'you,']",CharlesDickens
"['you', 'young', ""rascal!'\n"", '\n', 'Oliver', 'stared', 'innocently', 'in', 'Mr.', ""Bumble's"", 'face', 'at', 'this', 'somewhat\n', 'contradictory', 'style', 'of', 'address;', 'but', 'that', 'gentleman', 'prevented', 'his\n', 'offering', 'any']",CharlesDickens
